institution_number,display_name
"001","Bank of Montreal"
"002","The Bank of Nova Scotia"
"003","Royal Bank of Canada"
"004","The Toronto-Dominion Bank"
"006","National Bank of Canada"
"010","Canadian Imperial Bank of Commerce (010/326)"
"039","Laurentian Bank of Canada"
"177","Bank of Canada"
"219","ATB Financial"
"241","Bank of America, National Association"
"242","The Bank of New York Mellon"
"245","MUFG Bank, Ltd., Canada Branch"
"250","BNP Paribas"
"260","Citibank Canada"
"265","Deutsche Bank AG"
"269","Mega International Commercial Bank Co., Ltd."
"270","JPMorgan Chase Bank, National Association"
"275","KEB Hana Bank Canada"
"277","Mizuho Bank Ltd."
"290","UBS Bank (Canada)"
"294","SBI Canada Bank"
"301","Sumitomo Mitsui Banking Corporation, Canada Branch"
"303","Amex Bank of Canada"
"307","Industrial and Commercial Bank of China (Canada)"
"308","Bank of China (Canada)"
"309","Vancity Community Investment Bank"
"310","First Nations Bank of Canada"
"314","J.P. Morgan Bank Canada"
"315","CTBC Bank Corp. (Canada)"
"318","U.S. Bank National Association"
"320","President&#039;s Choice Bank"
"321","Habib Canadian Bank"
"322","Rabobank Canada"
"323","Capital One Bank (Canada Branch)"
"327","State Street"
"328","Citibank, N.A"
"330","Comerica Bank"
"332","First Commercial Bank"
"334","VersaBank"
"335","United Overseas Bank Limited"
"338","Canadian Tire Bank"
"340","ICICI Bank Canada"
"344","General Bank of Canada"
"345","Fifth Third Bank, National Association"
"346","Société Générale (Canada Branch)"
"347","Bridgewater Bank"
"349","The Northern Trust Company, Canada Branch"
"352","Digital Commerce Bank"
"355","Shinhan Bank Canada"
"356","Citco Bank Canada"
"357","M &amp; T Bank"
"358","HomeEquity Bank"
"359","Fairstone Bank of Canada"
"360","Barclays Bank PLC, Canada Branch"
"361","Home Bank"
"362","Wells Fargo Bank, National Association, Canadian Branch"
"365","PNC Bank Canada Branch"
"366","China Construction Bank Toronto Branch"
"368","Rogers Bank"
"370","Wealth One Bank of Canada"
"372","Bank of China, Toronto Branch"
"374","Motus Bank"
"376","Exchange Bank of Canada"
"377","RFA Bank of Canada"
"378","Cidel Bank Canada"
"379","Santander Consumer Bank"
"381","Haventree Bank"
"382","Coast Capital Savings Federal Credit Union"
"383","Peoples Bank of Canada"
"384","Innovation Federal Credit Union"
"385","Questbank"
"386","Tru Cooperative Bank"
"507","Community Trust Company"
"509","The Canada Trust Company"
"522","Trust La Laurentienne du Canada Inc."
"532","Effort Trust Company"
"536","Investors Group Trust Co. Ltd."
"540","Manulife Bank of Canada"
"548","CIBC Trust Corporation"
"550","Montreal Trust Company of Canada"
"551","Sun Life Financial Trust Inc."
"568","Peace Hills Trust Company"
"570","The Royal Trust Company"
"580","Royal Trust Corporation of Canada"
"590","National Trust Company"
"597","TD Mortgage Corporation"
"603","TD Pacific Mortgage Corporation"
"606","Scotia Mortgage Corporation"
"608","CS Alterna Bank"
"612","Natcan Trust Company"
"614","Tangerine Bank"
"618","B2B Bank"
"621","Peoples Trust Company"
"623","Equitable Bank"
"626","Manulife Trust Company"
"627","Home Trust Company"
"701","Edward Jones"
"702","Manufacturers Life Insurance Company"
"703","Wealthsimple Investments Inc."
"704","Questrade, Inc."
"705","Wise Payments Canada Inc."
"706","KOHO Financial Inc."
"707","Element Financial Technology Inc. (d.b.a. Paramount Commerce)"
"708","Float Financial Solutions Inc."
"709","Brim Financial Inc."
"710","uSecure Escrow Solutions Inc. (d.b.a. DoBusiness.com)"
"711","Neo Financial Technologies Inc."
"721","Shakepay Inc."
"777","CI Investment Services Inc."
"815","Fédération des caisses Desjardins du Quebec"
"829","Caisse Desjardins Ontario Credit Union Inc."
"837","Meridian Credit Union Limited"
"839","Atlantic Central (839/849)"
"853","Concentra Bank"
"865","Caisse populaire acadienne ltée"
"869","Central 1 Credit Union (869 /809 / 828)"
"879","Credit Union Central of Manitoba Limited"
"889","Credit Union Central of Saskatchewan"
"890","Caisse populaire Alliance Limitée"
"899","Credit Union Central Alberta Limited"
